latitude,longitude,airline_country,dep_airport,arr_airport
-35.241577,-58.250256,MX,,
41.828487,12.264222,PL,,
59.915314,37.613251,RU,,
56.294178,58.575497,RU,,
47.584579,45.887901,RU,UUEE,URSS
56.118988,51.797874,RU,UUEE,USSS
59.731361,52.196804,RU,,
55.97747,37.426342,RU,UUEE,UWSS
56.095596,42.881969,RU,UUEE,USSS
49.511936,51.19978,RU,UUEE,URML
46.492138,49.83989,RU,URMS,UUEE
59.762466,30.025909,RU,,
58.026443,53.782948,RU,UUEE,USPP
56.401249,45.705273,RU,USTR,UUEE
53.339264,50.560101,RU,,
55.96254,37.339783,RU,UUEE,URML
43.397858,45.650612,RU,UUEE,URMN
56.68787,37.176849,RU,ULLI,UUEE
54.576542,47.315701,RU,UWOR,UUEE
47.401024,46.018066,RU,UWGG,URSS
46.246948,53.168068,RU,,
43.251244,36.422028,RU,LTAI,UUEE
55.977028,37.410767,RU,,
42.145836,46.448341,RU,,
54.735329,39.286194,RU,UUDD,URMM
40.923954,66.458298,RU,UUBW,UTDD
53.926346,41.91074,RU,UUDD,URSS
48.687866,45.211487,RU,UUDD,URSS
56.853504,35.027161,RU,UUDD,UMKK
44.098282,42.183052,RU,URSS,UUDD
47.463032,45.974895,RU,UWGG,URSS
47.531139,79.216568,RU,UNKL,UAFO
44.723053,51.314587,RU,USSS,URMM
56.452469,20.054295,RU,UMKK,USSS
45.597313,52.585716,RU,USSS,URSS
52.717617,58.452759,RU,,
43.790863,50.72509,RU,URSS,UAFO
51.03598,44.456028,RU,UUDD,URSS
42.296906,57.640533,RU,URMM,UTDD
59.179161,21.666365,RU,UMKK,ULLI
54.89035,59.524086,RU,URSS,USSS
44.391235,50.381695,RU,UUDD,URMG
59.980545,28.743076,RU,UMKK,UUDD
43.78743,45.843582,RU,UUDD,URSS
46.57814,47.356701,RU,URSS,UUDD
44.095768,42.264011,RU,URSS,UUEE
44.532242,11.297697,IT,LIPE,HEMM
47.948318,6.508369,IT,,
42.39922,30.16341,IT,UTAK,LIRA
50.049133,8.596838,IT,LOWI,EDDF
43.35466,9.177353,IT,LIEO,EDDM
42.647186,12.160866,IT,,
45.29528,9.807107,IT,,
44.506119,11.314479,IT,,
46.416168,11.988167,IT,,
43.712971,13.234667,IT,,
44.440247,11.609475,IT,,
49.792053,-1.708735,UK,LEBL,EGLL
42.408829,4.112882,ES,LIPZ,LEMD
28.044434,-16.43037,ES,GCTS,LEMD
28.446808,-15.096482,ES,,
41.623489,-3.073051,ES,LEMG,EKCH
40.423782,-3.474609,ES,LEMD,LGAV
39.773254,4.086853,ES,LEMG,LIRP
37.351978,-3.697377,ES,,
39.098572,1.956299,ES,LEAL,LEMH
50.220154,-1.24731,ES,LEBB,EGKK
39.168228,-28.793137,ES,LEMD,MDSD
32.699596,-9.555415,ES,LEMG,GCLP
31.720367,-13.958884,ES,LEAS,GCXO
41.580925,-6.718523,ES,LEMD,LPPR
28.471861,-16.309151,ES,LEMG,GCXO
39.74202,-2.089844,ES,LEMD,LEAL
41.919174,2.702637,ES,EHAM,LEBL
39.466431,2.271912,ES,,
42.148636,-7.314585,ES,LEMD,LEVX
41.227268,2.055567,ES,LEBL,LEPA
42.617523,-2.770677,ES,LEMD,LEBB
41.237881,-5.143037,ES,LEMD,LECO
49.672283,-34.290375,ES,LEMD,KORD
39.413639,8.88855,ES,LEBL,LIEE
40.755478,-3.264282,ES,LEMD,EBBR
40.064667,2.012512,ES,LEPA,LFPO
39.519379,2.15744,ES,LEMD,LEPA
43.112274,0.667228,ES,LFPG,LEAL
46.161057,-26.445484,ES,LEMD,KJFK
38.366089,-31.179842,ES,LEMD,KMIA
51.143372,-0.223735,ES,EGKK,LEBL
35.268951,-6.367395,ES,GCFV,LEBL
37.75827,22.031269,ES,LGIR,LIRF
45.753937,5.085129,ES,LEBL,LFLL
41.291061,2.070206,ES,LEBL,ESSA
40.663879,-0.073792,ES,EGFF,LEAL
48.156055,1.208778,ES,LEBB,LFPG
41.291325,2.095127,ES,LEBL,LEMG
43.003006,9.505793,ES,LIRF,LFPO
41.294209,2.753324,ES,LIRQ,LFPO
41.794556,13.169299,ES,,
37.197372,-3.94117,ES,,
47.692245,6.171021,ES,LIRQ,EGKK
38.828979,-1.907859,ES,LEMH,LEZL
36.216057,-23.608801,ES,LEMD,SEGU
41.549454,3.516902,ES,,
41.623566,1.728941,ES,LEBB,LEBL
43.151272,1.429596,ES,LEBL,EBBR
50.122841,14.295291,ES,LKPR,LFPO
43.546734,1.321891,ES,LEIB,LFPO
40.394989,-4.830383,ES,LEMD,SKBO
40.457474,-3.310669,ES,LEMD,LIMC
33.414474,-32.259251,ES,LEMD,MROC
40.206253,-3.440186,ES,LEMD,MPTO
28.469812,-16.071276,ES,GCRR,GCXO
-5.635893,-75.275055,ES,EGWU,LEMD
47.833031,2.343891,ES,LFPO,LEBL
40.159683,0.57491,ES,LEBL,GCLA
42.448013,15.789975,ES,LDDU,LIRF
40.845261,2.450575,ES,LELN,LEPA
57.468925,9.301344,ES,ENGM,LEMD
40.611938,-3.559758,ES,EDDB,LEMD
39.116867,-27.366455,ES,LEMD,MSLP
49.73909,3.362684,ES,EKCH,GCRR
30.710836,-16.485535,ES,LPMA,GCXO
42.878082,-2.124002,ES,LEMD,EHAM
42.227207,-1.071486,ES,LEMD,EDDM
41.406509,-5.91801,ES,LEBB,LPPT
40.458344,-5.307007,ES,LEMD,MROC
39.559662,-22.129032,ES,LEMD,MMMX
39.240051,-4.497289,ES,LEBB,LEMG
55.130558,8.245239,ES,LEBL,EKBI
41.823788,12.222929,ES,LEVC,LIRF
38.829254,18.294266,ES,LGAV,LEMD
40.443832,-3.534363,ES,LEMD,GCLP
39.279243,-4.741943,ES,GMMX,LEMD
44.371777,0.922048,ES,EICK,LEPA
28.754013,-13.84272,ES,GCXO,GCRR
42.414814,4.405965,ES,LIMC,LEIB
39.202835,-10.004903,ES,GCLP,EHAM
39.623886,-6.014119,ES,LEMD,GCXO
45.191689,7.645212,ES,GCLP,LIMF
34.706135,-11.049843,ES,LFBO,GCLP
28.452461,-13.8674,ES,GCXO,GCFV
42.472118,6.324548,ES,,
23.611387,-17.255842,ES,LEMD,SAEZ
28.067871,-15.316896,ES,GCLP,GCRR
39.505207,-0.407104,MA,GMMW,LEBL
41.092392,2.216675,ES,LEBL,LIPE
41.798927,12.239536,ES,LIEO,LIRF
45.36562,4.079009,ES,LFRS,LIEO
40.902321,9.51608,ES,LIRP,LIEO
41.28978,2.080811,ES,LEZL,LEBL
28.936825,-13.816223,ES,GCRR,GCLP
40.926399,-11.873973,ES,LEMD,MMUN
41.77663,12.343395,ES,LICJ,LIPX
39.411404,2.51416,ES,LFML,DAOO
29.018326,-13.691976,ES,GCRR,GCXO
37.612518,-4.751996,ES,LEMD,LEMG
40.010391,-2.24015,ES,LEMD,LEVC
39.382217,-7.367371,ES,LEMD,LPPT
45.673737,4.875451,FR,,
48.821594,3.381042,FR,LFLL,LFPG
45.674541,0.775703,FR,LFBO,LFPG
46.611313,3.739265,FR,,
44.695316,9.431629,FR,,
-33.377834,-70.57917,SD,,
37.475761,-6.039495,FR,LFPG,SBFZ
35.68634,1.630827,FR,LFPG,LFPG
49.120468,-0.657842,FR,,
43.755066,-1.151201,FR,,
43.617371,-1.128909,FR,,
45.948486,4.523487,FR,LFPG,LFML
45.901112,11.345924,FR,LFPG,LIBD
55.690933,9.279119,FR,EKBI,LFPG
49.55127,3.152643,FR,EHAM,LFRS
47.379547,7.771385,FR,,
45.884354,5.180389,FR,,
49.438488,-55.225742,FR,LFPO,KEWR
48.83041,7.438828,CH,,
48.184593,4.03191,FR,,
48.791634,3.259831,FR,,
48.252605,-2.146309,FR,,
51.320801,-3.246015,FR,,
13.055328,-59.570904,TC,TGPY,TBPB
51.788635,-3.203257,UK,LEMG,EGCC
51.468075,-0.478666,UK,EGLL,CYYZ
51.306049,-3.347214,UK,LEAL,EGCC
41.948406,-24.24229,UK,EGKK,TTPP
47.178513,-16.502565,UK,EGLL,TBPB
51.680153,-9.874573,UK,EGLL,KMCO
32.701447,25.295252,UK,EGLL,HKJK
61.928741,-3.406448,UK,,
57.007587,-2.755504,UK,EGPD,EGBB
53.735924,-4.213159,UK,EGAE,EGGP
57.092537,-4.18341,UK,EGPE,EGBB
51.671127,5.163129,UK,LKPR,EGLL
50.418228,0.101262,UK,EGLL,LFLL
55.955383,-3.95383,UK,EGLL,EGPE
47.025696,-5.483894,UK,GCTS,EGCC
53.81271,-4.504637,GB,EGPH,EGAC
53.869125,-1.665449,UK,EGPH,EGNM
53.458916,-4.73438,UK,KCVG,EDDP
52.121338,0.266266,GB,,
52.238335,-0.811167,GB,,
52.800293,-2.799454,GB,,
50.834793,-0.262855,GB,,
52.672321,-0.874512,GB,,
52.047272,-0.606232,GB,,
52.016026,-2.477731,GB,,
51.75079,-0.151899,GB,,
51.895626,-2.1661,GB,,
45.213535,9.653901,GB,EGKK,LDSP
48.480194,-2.342694,GB,GMMX,EGKK
54.7094,-5.762995,UK,EGGP,EGAC
41.099167,10.139954,GB,EGGD,LIEO
48.13353,3.563965,GB,LFMN,EGGD
43.883148,19.446119,GB,LGSR,EGGW
38.055386,23.013672,UK,,
41.708618,2.323289,GB,EGGW,LEBL
35.567001,30.324268,GB,LCPH,EGKK
49.978668,-3.473684,GB,EGGD,LPPT
51.471027,-0.484939,UK,EGLL,EGCC
51.172485,-0.012397,GB,LEVC,EGKK
40.518173,22.971436,UK,LGKF,LGTS
51.687229,0.982666,UK,EGPH,EGLC
52.426712,7.852007,UK,EGLC,EDDB
54.495399,8.935963,UK,EGLL,EKCH
42.949997,6.308324,GB,LEPA,EGGW
47.503159,7.693951,UK,LSZH,EGLC
51.158524,0.785003,GB,EGGD,LTBS
43.162071,14.663021,GB,EGKK,LIBD
42.853729,10.122113,GB,EGKK,LIEO
45.187233,24.16128,UK,EGLL,LROP
51.15694,-0.179806,GB,EGKK,LFMN
51.15588,-0.177526,GB,LICC,EGKK
40.936783,18.17844,GB,EGKK,LGPZ
61.192421,-23.212742,UK,EGLL,KLAX
39.817944,24.987061,GB,LTBS,EGKK
30.985016,-13.28274,UK,GCLP,EGKK
52.526009,6.656538,GB,EDDB,EGPH
40.82645,19.805103,GB,LGIR,EGKK
51.464943,-0.442352,UK,LFLL,EGLL
52.691456,-2.886658,GB,EGCN,GCTS
55.753464,-25.293888,UK,EGCC,KJFK
30.952389,-39.354267,UK,EGLL,TGPY
46.256725,13.551155,UK,OPIS,EGLL
48.268059,15.602827,UK,EGLL,VOMM
43.976807,-4.188665,GB,GMAD,EGKK
44.365631,14.170009,UK,LGKF,EGCC
53.470551,-2.386623,GB,,
65.100883,-26.435165,UK,EGLL,KSEA
41.231411,2.118676,UK,EGKB,EGSC
52.964714,-1.653835,UK,LEIB,EGPH
44.279652,-7.246488,UK,GCTS,EGNM
49.446808,-3.750241,UK,GCFV,EGNM
48.554401,4.453149,UK,LTBJ,EGGD
51.130463,-3.791122,GB,,
57.188866,-0.495182,UK,,
45.66523,22.807549,UK,VABB,EGLL
57.291458,-1.586151,UK,,
55.817093,-4.535522,UK,EGLL,EGPF
51.974304,0.508194,UK,LPMA,EGGW
45.999767,-33.016407,UK,EGBB,MDPC
49.80542,0.793184,UK,EGLL,LIPZ
51.475929,-0.438538,UK,EGLL,LDDU
51.469517,-0.484679,UK,EDDB,EGLL
44.548004,18.067017,UK,LTAI,EGKK
52.509705,-2.220459,GB,EGAA,LFPG
49.455826,-3.55068,UK,LXGB,EGPH
50.174885,2.197711,GB,LSGG,EGPH
51.267792,0.556259,GB,EGKK,LGRP
45.125198,-3.682186,UK,LEMG,EGLL
53.418365,-1.933755,UK,LGKF,EGCC
51.507019,-2.629667,UK,LGSK,EGGD
60.76054,0.267105,UK,,
39.329453,25.711351,UK,LTBS,EGKK
41.463425,22.443663,GB,LCLK,EGGD
53.796513,0.818401,UK,,
31.869553,-14.804956,UK,,
51.153183,-0.154037,GB,LDSP,EGKK
45.293518,16.886902,GB,LTFE,EGGW
51.20993,11.973114,GB,EGCC,LKPR
52.884022,-44.690838,UK,EGLL,KATL
44.29599,0.590917,UK,LERS,EGCC
51.383953,-2.707291,UK,LGSR,EGGD
51.880028,-0.374073,UK,LGTS,EGGW
51.903465,-0.200736,UK,BKPR,EGGW
